"Race","Age","Fertility"
"Total",0,0
"Total",1,0
"Total",2,0
"Total",3,0
"Total",4,0
"Total",5,0
"Total",6,0
"Total",7,0
"Total",8,0
"Total",9,0
"Total",10,0
"Total",11,0
"Total",12,0
"Total",13,0
"Total",14,0
"Total",15,0.04572000766
"Total",16,0.04572000766
"Total",17,0.04572000766
"Total",18,0.04572000766
"Total",19,0.04572000766
"Total",20,0.07656273422
"Total",21,0.07656273422
"Total",22,0.07656273422
"Total",23,0.07656273422
"Total",24,0.07656273422
"Total",25,0.07215723208
"Total",26,0.07215723208
"Total",27,0.07215723208
"Total",28,0.07215723208
"Total",29,0.07215723208
"Total",30,0.05207625615
"Total",31,0.05207625615
"Total",32,0.05207625615
"Total",33,0.05207625615
"Total",34,0.05207625615
"Total",35,0.02683567122
"Total",36,0.02683567122
"Total",37,0.02683567122
"Total",38,0.02683567122
"Total",39,0.02683567122
"Total",40,0.006828521621
"Total",41,0.006828521621
"Total",42,0.006828521621
"Total",43,0.006828521621
"Total",44,0.006828521621
"Total",45,0.000538262182
"Total",46,0.000538262182
"Total",47,0.000538262182
"Total",48,0.000538262182
"Total",49,0.000538262182
"Total",50,0
"Total",51,0
"Total",52,0
"Total",53,0
"Total",54,0
"Total",55,0
"Total",56,0
"Total",57,0
"Total",58,0
"Total",59,0
"Total",60,0
"Total",61,0
"Total",62,0
"Total",63,0
"Total",64,0
"Total",65,0
"Total",66,0
"Total",67,0
"Total",68,0
"Total",69,0
"Total",70,0
"Total",71,0
"Total",72,0
"Total",73,0
"Total",74,0
"Total",75,0
"Total",76,0
"Total",77,0
"Total",78,0
"Total",79,0
"Total",80,0
"Total",81,0
"Total",82,0
"Total",83,0
"Total",84,0
"Total",85,0
"Total",86,0
"Total",87,0
"Total",88,0
"Total",89,0
"Total",90,0
"Total",91,0
"Total",92,0
"Total",93,0
"Total",94,0
"Total",95,0
"Total",96,0
"Total",97,0
"Total",98,0
"Total",99,0
"Total",100,0
